0-50, State-gov, 77516, AdvancedDegree, 13, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 2174, 0, 40, United-States, <=50K
50-100, Private, 176696, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, >50K
50-100, Private, 220019, AdvancedDegree, 12, Married, Prof-specialty, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Self-emp-inc, 242984, AdvancedDegree, 13, NonMarried, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Private, 187847, BasicDegree, 11, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, Private, 132636, BasicDegree, 7, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 15, United-States, <=50K
0-50, Private, 108887, BasicDegree, 10, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Self-emp-not-inc, 195897, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 112181, AdvancedDegree, 13, Married, Sales, Wife, Occident, Female, 0, 0, 12, United-States, >50K
50-100, Local-gov, 391926, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 195505, BasicDegree, 6, NonMarried, Sales, Own-child, Occident, Male, 0, 0, 5, United-States, <=50K
0-50, Private, 43819, AdvancedDegree, 13, Married, Prof-specialty, Wife, Occident, Female, 7688, 0, 43, United-States, >50K
0-50, Private, 145389, BasicDegree, 10, Married, Sales, Wife, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, ?, 186824, BasicDegree, 10, NonMarried, ?, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 101833, AdvancedDegree, 13, Married, Prof-specialty, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 82283, BasicDegree, 3, Married, Other-service, Husband, Orient, Male, 0, 0, 40, ?, <=50K
50-100, Private, 99602, BasicDegree, 9, Married, Craft-repair, Own-child, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 213276, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Private, 424468, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, ?, <=50K
0-50, Private, 176123, BasicDegree, 6, NonMarried, Machine-op-inspct, Other-relative, Orient, Male, 0, 0, 40, Vietnam, <=50K
0-50, Private, 38797, BasicDegree, 11, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 101859, BasicDegree, 4, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Private, 87158, BasicDegree, 9, Married, Craft-repair, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 205066, BasicDegree, 6, Married, Craft-repair, Husband, Occident, Male, 0, 0, 36, United-States, <=50K
0-50, Private, 56929, AdvancedDegree, 13, NonMarried, Exec-managerial, Not-in-family, Orient, Male, 0, 0, 50, ?, <=50K
0-50, Private, 25322, AdvancedDegree, 13, Married, Machine-op-inspct, Not-in-family, Orient, Male, 0, 2339, 40, ?, <=50K
0-50, Private, 87950, BasicDegree, 11, Married, Sales, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 150154, BasicDegree, 9, NonMarried, Adm-clerical, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 142076, BasicDegree, 9, Married, Tech-support, Not-in-family, Occident, Male, 4787, 0, 39, United-States, >50K
0-50, State-gov, 112139, BasicDegree, 9, Married, Protective-serv, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 149217, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, Puerto-Rico, <=50K
0-50, Private, 189974, BasicDegree, 10, Married, Adm-clerical, Own-child, Occident, Female, 0, 0, 20, United-States, <=50K
0-50, Private, 109199, BasicDegree, 3, Married, Handlers-cleaners, Husband, Occident, Male, 0, 0, 40, Mexico, <=50K
0-50, Private, 190290, BasicDegree, 11, Married, Craft-repair, Husband, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Private, 189404, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 1977, 35, United-States, >50K
0-50, Federal-gov, 428271, BasicDegree, 9, Married, Adm-clerical, Unmarried, Orient, Female, 0, 0, 35, United-States, <=50K
0-50, State-gov, 134192, BasicDegree, 10, NonMarried, Tech-support, Own-child, Occident, Female, 0, 0, 10, United-States, <=50K
0-50, Private, 168211, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 44, United-States, <=50K
0-50, Private, 277314, AdvancedDegree, 12, Married, Sales, Husband, Orient, Male, 0, 1902, 50, United-States, >50K
0-50, Federal-gov, 316120, BasicDegree, 15, Married, Prof-specialty, Unmarried, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 107276, BasicDegree, 11, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 0, 45, United-States, <=50K
0-50, ?, 112453, BasicDegree, 9, Married, ?, Not-in-family, Orient, Male, 0, 0, 4, United-States, <=50K
0-50, Private, 346909, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 44, Mexico, <=50K
50-100, ?, 105017, AdvancedDegree, 13, Married, ?, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 317360, AdvancedDegree, 13, Married, Prof-specialty, Unmarried, Occident, Female, 0, 0, 50, United-States, <=50K
0-50, Private, 189017, AdvancedDegree, 13, NonMarried, Sales, Not-in-family, Occident, Male, 0, 0, 55, United-States, <=50K
50-100, Private, 138179, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 299813, BasicDegree, 7, NonMarried, Machine-op-inspct, Not-in-family, Occident, Female, 0, 0, 37, Dominican-Republic, <=50K
0-50, Private, 265083, BasicDegree, 3, Married, Priv-house-serv, Unmarried, Occident, Female, 0, 0, 35, Mexico, <=50K
50-100, Private, 185846, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 184655, AdvancedDegree, 12, NonMarried, Other-service, Other-relative, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, Private, 200295, BasicDegree, 10, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 117319, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 1672, 40, United-States, <=50K
50-100, Private, 63000, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 60, United-States, >50K
50-100, Self-emp-not-inc, 106942, BasicDegree, 10, Married, Craft-repair, Unmarried, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 52795, BasicDegree, 10, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 46, United-States, <=50K
0-50, Private, 51264, AdvancedDegree, 16, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 99, France, >50K
0-50, Self-emp-not-inc, 410919, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 35, United-States, <=50K
0-50, Private, 105592, AdvancedDegree, 12, NonMarried, Transport-moving, Not-in-family, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Self-emp-not-inc, 183151, BasicDegree, 9, Married, Transport-moving, Husband, Occident, Male, 0, 0, 48, United-States, <=50K
0-50, Private, 209912, AdvancedDegree, 13, Married, Exec-managerial, Husband, Orient, Male, 0, 0, 40, India, >50K
0-50, Self-emp-not-inc, 275845, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Local-gov, 241851, BasicDegree, 11, Married, Transport-moving, Husband, Occident, Male, 4386, 0, 40, United-States, >50K
50-100, Private, 89299, BasicDegree, 9, Married, Other-service, Not-in-family, Occident, Female, 0, 0, 16, United-States, <=50K
50-100, Self-emp-not-inc, 106648, BasicDegree, 9, Married, Other-service, Husband, Occident, Male, 0, 0, 12, United-States, <=50K
0-50, Private, 58426, BasicDegree, 9, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Self-emp-not-inc, 121912, BasicDegree, 11, Married, Craft-repair, Husband, Occident, Male, 0, 0, 42, United-States, <=50K
0-50, Private, 170730, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Private, 257555, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 51499, BasicDegree, 10, Married, Farming-fishing, Husband, Occident, Male, 0, 0, 72, United-States, <=50K
0-50, Private, 195000, AdvancedDegree, 13, NonMarried, Sales, Other-relative, Occident, Female, 0, 0, 45, United-States, <=50K
50-100, Private, 108741, BasicDegree, 9, Married, Exec-managerial, Wife, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 184964, AdvancedDegree, 14, Married, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 156815, BasicDegree, 9, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 49325, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 121718, BasicDegree, 10, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 40, Germany, <=50K
0-50, Private, 172076, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Female, 0, 0, 25, United-States, <=50K
50-100, Self-emp-not-inc, 327901, BasicDegree, 6, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Local-gov, 215990, BasicDegree, 10, Married, Other-service, Husband, Occident, Male, 0, 0, 35, United-States, <=50K
0-50, Private, 210866, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 44, United-States, >50K
0-50, Private, 322873, BasicDegree, 9, Married, Sales, Not-in-family, Occident, Female, 0, 0, 50, United-States, <=50K
0-50, Private, 265698, AdvancedDegree, 14, Married, Prof-specialty, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, ?, 26990, BasicDegree, 9, Married, ?, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
50-100, Private, 177896, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Private, 189107, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 306830, AdvancedDegree, 12, Married, Handlers-cleaners, Husband, Occident, Male, 0, 0, 40, Nicaragua, <=50K
50-100, Federal-gov, 39110, BasicDegree, 7, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 8, Canada, <=50K
0-50, Private, 155475, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 135803, BasicDegree, 9, Married, Other-service, Husband, Orient, Male, 0, 0, 25, Philippines, <=50K
0-50, Private, 117849, BasicDegree, 10, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, >50K
50-100, Self-emp-not-inc, 339321, AdvancedDegree, 13, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 24, United-States, >50K
0-50, Private, 318822, BasicDegree, 7, NonMarried, Priv-house-serv, Not-in-family, Occident, Female, 0, 0, 35, United-States, <=50K
0-50, Private, 174794, BasicDegree, 11, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 204277, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 1848, 48, United-States, >50K
50-100, Private, 182460, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 15024, 0, 35, United-States, >50K
0-50, Private, 193920, AdvancedDegree, 14, NonMarried, Priv-house-serv, Not-in-family, Occident, Female, 0, 0, 45, ?, <=50K
0-50, Federal-gov, 91468, BasicDegree, 9, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 106760, BasicDegree, 9, Married, Adm-clerical, Wife, Occident, Female, 0, 0, 50, Canada, >50K
0-50, Private, 375680, AdvancedDegree, 12, NonMarried, Craft-repair, Own-child, Orient, Female, 0, 0, 40, United-States, <=50K
50-100, Self-emp-inc, 222615, AdvancedDegree, 14, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 190968, BasicDegree, 9, Married, Other-service, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 76767, BasicDegree, 10, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 60, United-States, <=50K
50-100, Self-emp-not-inc, 203098, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 35, United-States, <=50K
0-50, Local-gov, 162187, BasicDegree, 10, Married, Transport-moving, Husband, Occident, Male, 0, 1887, 40, United-States, >50K
0-50, Private, 242729, AdvancedDegree, 13, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 20, United-States, <=50K
50-100, Private, 253784, BasicDegree, 7, Married, Other-service, Unmarried, Occident, Female, 0, 0, 20, United-States, <=50K
0-50, Private, 206051, BasicDegree, 9, Married, Transport-moving, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 181553, BasicDegree, 9, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Self-emp-inc, 80986, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 0, 0, 20, United-States, <=50K
50-100, Private, 200783, BasicDegree, 4, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 42596, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Private, 464502, AdvancedDegree, 12, NonMarried, Sales, Not-in-family, Orient, Male, 0, 0, 40, ?, <=50K
50-100, Private, 205724, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 24, United-States, >50K
0-50, Private, 446140, BasicDegree, 9, NonMarried, Sales, Own-child, Occident, Male, 0, 0, 55, United-States, <=50K
50-100, Local-gov, 32287, BasicDegree, 6, Married, Transport-moving, Husband, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, Private, 56774, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 308118, AdvancedDegree, 13, Married, Machine-op-inspct, Unmarried, Occident, Female, 0, 0, 40, ?, <=50K
0-50, Private, 176279, BasicDegree, 10, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 30, United-States, <=50K
0-50, Private, 103277, BasicDegree, 10, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 0, 35, United-States, <=50K
50-100, Self-emp-inc, 225780, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 20, United-States, >50K
50-100, Private, 154728, BasicDegree, 11, Married, Tech-support, Husband, Occident, Male, 7688, 0, 40, United-States, >50K
0-50, Private, 149943, BasicDegree, 9, NonMarried, Other-service, Not-in-family, Orient, Male, 0, 0, 40, Japan, <=50K
0-50, State-gov, 22245, AdvancedDegree, 16, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 93056, BasicDegree, 4, Married, Handlers-cleaners, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 270522, BasicDegree, 9, Married, Other-service, Not-in-family, Occident, Female, 0, 0, 26, United-States, <=50K
50-100, Self-emp-inc, 123218, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 123959, AdvancedDegree, 13, Married, Prof-specialty, Not-in-family, Occident, Female, 0, 1668, 3, Hungary, <=50K
0-50, Self-emp-not-inc, 103642, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 55, United-States, <=50K
0-50, Private, 157747, BasicDegree, 9, Married, Transport-moving, Husband, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Self-emp-not-inc, 154083, AdvancedDegree, 14, NonMarried, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, State-gov, 23037, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Male, 0, 0, 84, United-States, <=50K
0-50, ?, 226891, BasicDegree, 9, NonMarried, ?, Other-relative, Orient, Female, 0, 0, 20, South, <=50K
0-50, Private, 50028, BasicDegree, 10, Married, Other-service, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 138251, BasicDegree, 9, Married, Transport-moving, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 369825, BasicDegree, 4, NonMarried, Handlers-cleaners, Other-relative, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, Federal-gov, 44364, BasicDegree, 9, NonMarried, Adm-clerical, Own-child, Orient, Female, 0, 0, 36, United-States, <=50K
0-50, Private, 230704, BasicDegree, 10, NonMarried, Handlers-cleaners, Own-child, Orient, Male, 0, 0, 22, United-States, <=50K
0-50, Private, 42044, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 30, United-States, <=50K
0-50, Local-gov, 56340, AdvancedDegree, 14, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, State-gov, 156015, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 163434, BasicDegree, 10, Married, Handlers-cleaners, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 85251, BasicDegree, 10, Married, Transport-moving, Husband, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Self-emp-inc, 187411, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 155124, BasicDegree, 11, Married, Prof-specialty, Not-in-family, Occident, Female, 0, 1669, 40, United-States, <=50K
0-50, Private, 396633, BasicDegree, 10, Married, Adm-clerical, Wife, Orient, Female, 0, 0, 56, United-States, >50K
0-50, Private, 182313, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 7688, 0, 50, United-States, >50K
0-50, Private, 52596, BasicDegree, 10, NonMarried, Adm-clerical, Own-child, Orient, Female, 0, 0, 40, United-States, <=50K
50-100, ?, 260111, BasicDegree, 10, Married, ?, Husband, Occident, Male, 0, 0, 40, United-States, >50K
50-100, Local-gov, 143570, BasicDegree, 10, NonMarried, Prof-specialty, Not-in-family, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 160634, BasicDegree, 11, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 40, United-States, >50K
50-100, Private, 29909, BasicDegree, 7, Married, Other-service, Wife, Occident, Female, 0, 0, 43, United-States, <=50K
0-50, Private, 94215, BasicDegree, 8, Married, Machine-op-inspct, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 151990, BasicDegree, 11, Married, Prof-specialty, Wife, Occident, Female, 0, 0, 15, United-States, >50K
0-50, Federal-gov, 188081, BasicDegree, 9, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 218445, BasicDegree, 3, NonMarried, Priv-house-serv, Unmarried, Occident, Female, 0, 0, 12, Mexico, <=50K
50-100, Private, 235775, BasicDegree, 9, Married, Other-service, Husband, Occident, Male, 0, 0, 25, Cuba, <=50K
0-50, Private, 98605, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Female, 0, 0, 20, United-States, <=50K
0-50, Private, 188398, BasicDegree, 9, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 30, United-States, <=50K
0-50, Self-emp-inc, 140365, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 1902, 55, United-States, >50K
0-50, Private, 202950, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 55, Iran, >50K
0-50, Private, 218215, BasicDegree, 10, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Self-emp-inc, 197816, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 10605, 0, 40, United-States, >50K
0-50, Private, 147002, BasicDegree, 9, NonMarried, Craft-repair, Unmarried, Occident, Female, 0, 0, 40, Puerto-Rico, <=50K
50-100, Private, 138497, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 57711, AdvancedDegree, 14, Married, Prof-specialty, Wife, Occident, Female, 0, 0, 35, United-States, >50K
50-100, Private, 169925, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 15, United-States, <=50K
0-50, Private, 72310, BasicDegree, 7, NonMarried, Transport-moving, Not-in-family, Occident, Male, 0, 0, 65, United-States, <=50K
0-50, Private, 170800, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Male, 0, 0, 20, United-States, <=50K
0-50, Private, 215095, BasicDegree, 7, NonMarried, Prof-specialty, Unmarried, Occident, Female, 0, 0, 30, Puerto-Rico, <=50K
0-50, Private, 480717, AdvancedDegree, 13, Married, Other-service, Husband, Orient, Male, 0, 0, 38, ?, <=50K
50-100, Local-gov, 34632, AdvancedDegree, 13, Married, Other-service, Not-in-family, Occident, Male, 0, 0, 30, United-States, <=50K
0-50, Private, 140664, AdvancedDegree, 12, Married, Transport-moving, Not-in-family, Occident, Male, 0, 0, 55, United-States, <=50K
0-50, Local-gov, 177858, AdvancedDegree, 13, Married, Prof-specialty, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 160369, AdvancedDegree, 14, Married, Exec-managerial, Husband, Occident, Male, 0, 2415, 45, United-States, >50K
0-50, Private, 129102, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Local-gov, 278522, BasicDegree, 10, Married, Transport-moving, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Federal-gov, 124953, BasicDegree, 11, Married, Tech-support, Husband, Occident, Male, 0, 0, 42, United-States, >50K
0-50, Private, 63184, BasicDegree, 9, NonMarried, Farming-fishing, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 165815, BasicDegree, 10, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 248584, BasicDegree, 9, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 55, United-States, <=50K
0-50, Local-gov, 226871, AdvancedDegree, 13, Married, Protective-serv, Not-in-family, Orient, Male, 0, 0, 50, United-States, >50K
0-50, Private, 267717, AdvancedDegree, 14, Married, Craft-repair, Husband, Occident, Male, 15024, 0, 45, United-States, >50K
0-50, Private, 60367, BasicDegree, 9, NonMarried, Other-service, Own-child, Occident, Female, 0, 0, 13, United-States, <=50K
0-50, Private, 134120, BasicDegree, 9, Married, Adm-clerical, Wife, Occident, Female, 0, 0, 40, United-States, >50K
0-50, Private, 95639, BasicDegree, 9, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 132053, BasicDegree, 10, NonMarried, Prof-specialty, Own-child, Occident, Female, 0, 0, 2, United-States, <=50K
0-50, Private, 138768, AdvancedDegree, 12, NonMarried, Handlers-cleaners, Own-child, Occident, Male, 0, 0, 30, United-States, <=50K
50-100, Private, 203910, BasicDegree, 9, Married, Other-service, Not-in-family, Occident, Male, 0, 0, 17, United-States, <=50K
0-50, Private, 109952, BasicDegree, 9, Married, Tech-support, Other-relative, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 155781, BasicDegree, 15, NonMarried, Prof-specialty, Not-in-family, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 49398, BasicDegree, 10, Married, Tech-support, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 159303, BasicDegree, 9, Married, Other-service, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 248339, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 35, United-States, <=50K
0-50, Private, 190539, AdvancedDegree, 13, NonMarried, Exec-managerial, Not-in-family, Occident, Male, 0, 1590, 50, United-States, <=50K
0-50, Private, 183620, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Private, 25468, AdvancedDegree, 14, Married, Exec-managerial, Not-in-family, Occident, Male, 99999, 0, 50, United-States, >50K
0-50, Private, 201495, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 52221, BasicDegree, 7, Married, Transport-moving, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-inc, 96460, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 7688, 0, 60, United-States, >50K
0-50, Private, 325353, AdvancedDegree, 12, Married, Adm-clerical, Husband, Occident, Male, 7688, 0, 42, United-States, >50K
0-50, Self-emp-not-inc, 176027, BasicDegree, 9, NonMarried, Other-service, Not-in-family, Occident, Female, 0, 0, 28, United-States, <=50K
0-50, Local-gov, 266135, BasicDegree, 10, Married, Protective-serv, Husband, Occident, Male, 0, 0, 52, United-States, >50K
50-100, State-gov, 194252, AdvancedDegree, 14, Married, Exec-managerial, Wife, Occident, Female, 3103, 0, 40, United-States, >50K
50-100, ?, 164835, BasicDegree, 9, Married, ?, Not-in-family, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 363192, BasicDegree, 11, NonMarried, Other-service, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 31360, BasicDegree, 10, NonMarried, Farming-fishing, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 63503, AdvancedDegree, 13, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 157614, BasicDegree, 9, Married, Sales, Own-child, Occident, Male, 0, 0, 38, United-States, <=50K
0-50, Private, 160647, AdvancedDegree, 13, Married, Adm-clerical, Unmarried, Occident, Female, 4687, 0, 35, United-States, >50K
0-50, Private, 363395, BasicDegree, 10, NonMarried, Sales, Unmarried, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 338376, BasicDegree, 10, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, Private, 87523, BasicDegree, 9, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 280714, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-inc, 119565, AdvancedDegree, 14, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Local-gov, 171482, BasicDegree, 10, Married, Protective-serv, Husband, Occident, Male, 0, 0, 56, United-States, >50K
0-50, Self-emp-inc, 49249, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, Private, 331552, BasicDegree, 8, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 0, 30, United-States, <=50K
0-50, Private, 174426, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 184105, BasicDegree, 10, NonMarried, Farming-fishing, Not-in-family, Occident, Male, 0, 0, 28, United-States, <=50K
